Date,Currency_code,Country,Local_price,Dollar_price
2008-06-01,SGD,Singapore,3.95,2.919977823
2008-06-01,SEK,Sweden,38,6.37492975
2008-06-01,THB,Thailand,62,1.858513189
2008-06-01,TRY,Turkey,5.15,4.317753092
2008-06-01,TWD,Taiwan,75,2.470152326
2008-06-01,UAH,Ukraine,11,2.391304348
2008-06-01,UYU,Uruguay,61,3.18537859
2008-06-01,USD,United States,3.57,3.57
2008-06-01,ZAR,South Africa,16.95,2.241100056
2009-07-01,AED,UAE,10,2.722570106
2009-07-01,ARS,Argentina,11.5,3.017382748
2009-07-01,AUD,Australia,4.34,3.372445411
2009-07-01,BRL,Brazil,8.03,4.020830204
2009-07-01,CAD,Canada,3.89,3.350992807
2009-07-01,CHF,Switzerland,6.5,5.984991483
2009-07-01,CLP,Chile,1750,3.190228785
2009-07-01,CNY,China,12.5,1.82943785
2009-07-01,COP,Colombia,7000,3.340332124
2009-07-01,CRC,Costa Rica,2000,3.433063838
2009-07-01,CZK,Czech Republic,67.92,3.63956906
2009-07-01,DKK,Denmark,29.5,5.526932084
2009-07-01,EGP,Egypt,13,2.327767581
2009-07-01,EUR,Euro area,3.31,4.617118998
2009-07-01,GBP,Britain,2.29,3.688274001
2009-07-01,HKD,Hong Kong,13.3,1.716018321
2009-07-01,HUF,Hungary,720,3.615225522
2009-07-01,IDR,Indonesia,20900,2.049019608
2009-07-01,ILS,Israel,15,3.774297037
2009-07-01,JPY,Japan,320,3.457030195
2009-07-01,KRW,South Korea,3400,2.586534804
2009-07-01,LKR,Sri Lanka,210,1.828312729
2009-07-01,MXN,Mexico,33,2.389503563
2009-07-01,MYR,Malaysia,6.77,1.879511383
2009-07-01,NOK,Norway,40,6.145101202
2009-07-01,NZD,New Zealand,4.9,3.077212924
2009-07-01,PKR,Pakistan,190,2.300242131
2009-07-01,PEN,Peru,8.056,2.661029266
2009-07-01,PHP,Philippines,99.39,2.054149013
2009-07-01,PLN,Poland,7.6,2.408683939
2009-07-01,RUB,Russia,67,2.042938294
2009-07-01,SAR,Saudi Arabia,11,2.933020478
2009-07-01,SGD,Singapore,4.22,2.881529532
2009-07-01,SEK,Sweden,39,4.930997642
2009-07-01,THB,Thailand,64.49,1.887604273
2009-07-01,TRY,Turkey,5.65,3.645043708
2009-07-01,TWD,Taiwan,75,2.260704436
2009-07-01,UAH,Ukraine,14,1.82767624
2009-07-01,UYU,Uruguay,61,2.632714717
2009-07-01,USD,United States,3.57,3.57
2009-07-01,ZAR,South Africa,17.95,2.167743494
2010-01-01,AED,UAE,11,2.994827117
2010-01-01,ARS,Argentina,7,1.842832697
2010-01-01,AUD,Australia,4.35,3.977870239
2010-01-01,BRL,Brazil,8.2,4.75831254
2010-01-01,CAD,Canada,4.12,3.973765432
2010-01-01,CHF,Switzerland,6.5,6.303641565
2010-01-01,CLP,Chile,1600,3.18028225
2010-01-01,CNY,China,12.5,1.830911648
2010-01-01,COP,Colombia,8200,3.912960489
2010-01-01,CRC,Costa Rica,2050,3.518890434
2010-01-01,CZK,Czech Republic,67.64,3.714432415
2010-01-01,DKK,Denmark,30.94,5.99385891
2010-01-01,EGP,Egypt,13,2.378774016
2010-01-01,EUR,Euro area,3.36,4.843943997
2010-01-01,GBP,Britain,2.29,3.671328
2010-01-01,HKD,Hong Kong,14.8,1.908064797
2010-01-01,HUF,Hungary,720,3.857470742
2010-01-01,IDR,Indonesia,20900,2.24248927
2010-01-01,ILS,Israel,14.9,3.991962492
2010-01-01,JPY,Japan,320,3.495739567
2010-01-01,KRW,South Korea,3400,2.981148619
2010-01-01,LKR,Sri Lanka,210,1.828312729
2010-01-01,MXN,Mexico,32,2.497317335
2010-01-01,MYR,Malaysia,7.05,2.081180812
2010-01-01,NOK,Norway,40,7.023026749
2010-01-01,NZD,New Zealand,4.9,3.611305598
2010-01-01,PKR,Pakistan,200,2.421307506
2010-01-01,PEN,Peru,8.056,2.806479707
2010-01-01,PHP,Philippines,101.52,2.210801394
2010-01-01,PLN,Poland,8.1,2.85648793
2010-01-01,RUB,Russia,70,2.339024961
2010-01-01,SAR,Saudi Arabia,10,2.666524452
2010-01-01,SGD,Singapore,4.45,3.188706961
2010-01-01,SEK,Sweden,39,5.506841191
2010-01-01,THB,Thailand,70,2.11256979
2010-01-01,TRY,Turkey,5.65,3.831677461
2010-01-01,TWD,Taiwan,75,2.355342702
2010-01-01,UAH,Ukraine,14,1.82767624
2010-01-01,UYU,Uruguay,77,3.32326284
2010-01-01,USD,United States,3.58,3.58
2010-01-01,ZAR,South Africa,17.95,2.457389281
2010-07-01,AED,UAE,11,2.994949426
2010-07-01,ARS,Argentina,14,3.558945027
2010-07-01,AUD,Australia,4.35,3.8369175
2010-07-01,BRL,Brazil,8.71,4.907180484
2010-07-01,CAD,Canada,4.17,4.000575622
2010-07-01,CHF,Switzerland,6.5,6.185468906
2010-07-01,CLP,Chile,1750,3.34192686
2010-07-01,CNY,China,13.2,1.947793239
2010-07-01,COP,Colombia,8200,4.388664401
2010-07-01,CRC,Costa Rica,2000,3.830573724
2010-07-01,CZK,Czech Republic,67.64,3.425226357
2010-07-01,DKK,Denmark,28.5,4.902255898
2010-07-01,EGP,Egypt,13,2.281101948
2010-07-01,EUR,Euro area,3.380031071,4.332523827
2010-07-01,GBP,Britain,2.29,3.483548
2010-07-01,HKD,Hong Kong,14.8,1.90373286
2010-07-01,HUF,Hungary,740,3.333796611
2010-07-01,IDR,Indonesia,22780,2.513516496
2010-07-01,ILS,Israel,14.9,3.858204511
2010-07-01,JPY,Japan,320,3.670566644
2010-07-01,KRW,South Korea,3400,2.822865208
2010-07-01,LKR,Sri Lanka,210,1.86211483
2010-07-01,MXN,Mexico,32,2.503520576
2010-07-01,MYR,Malaysia,7.05,2.193869613
2010-07-01,NOK,Norway,45,7.204322594
2010-07-01,NZD,New Zealand,5,3.59
2010-07-01,PKR,Pakistan,210,2.455422391
2010-07-01,PEN,Peru,10,3.536693192
2010-07-01,PHP,Philippines,102,2.194964493
2010-07-01,PLN,Poland,8.3,2.596265132
2010-07-01,RUB,Russia,71,2.332208289
2010-07-01,SAR,Saudi Arabia,10,2.666346705
2010-07-01,SGD,Singapore,4.23,3.078154563
2010-07-01,SEK,Sweden,48.4,6.564002414
2010-07-01,THB,Thailand,70,2.166847237
2010-07-01,TRY,Turkey,5.95,3.890668933
2010-07-01,TWD,Taiwan,75,2.336048341
2010-07-01,UAH,Ukraine,14.5,1.835675402
2010-07-01,UYU,Uruguay,79,3.744075829
2010-07-01,USD,United States,3.733333333,3.733333333
2010-07-01,ZAR,South Africa,18.45,2.448085982
2011-07-01,AED,UAE,12,3.267039654
2011-07-01,ARS,Argentina,20,4.83968542
2011-07-01,AUD,Australia,4.56,4.943724001
2011-07-01,BRL,Brazil,9.5,6.162428646
2011-07-01,CAD,Canada,4.73,5.000792938
2011-07-01,CHF,Switzerland,6.5,8.063015568
2011-07-01,CLP,Chile,1850,3.997839006
2011-07-01,CNY,China,14.65,2.273079907
2011-07-01,COP,Colombia,8400,4.74442248
2011-07-01,CRC,Costa Rica,2050,4.065000347
2011-07-01,CZK,Czech Republic,69.32,4.072400848
2011-07-01,DKK,Denmark,28.5,5.482403409
2011-07-01,EGP,Egypt,14.09,2.363300906
2011-07-01,EUR,Euro area,3.437660401,4.928401836
2011-07-01,GBP,Britain,2.39,3.891637
2011-07-01,HKD,Hong Kong,15.1,1.937934752
2011-07-01,HUF,Hungary,760,4.040996978
