Date,Open,High,Low,Close,Volume,Adj_Close
2013-07-15,167.9700012,168.3899994,167.6799927,168.1499939,69450600,136.3332672
2013-07-16,168.2599945,168.3600006,167.0700073,167.5200043,88702100,135.8225098
2013-07-17,168.1600037,168.4799957,167.7299957,167.9499969,92873900,136.1710663
2013-07-18,168.3099976,169.2700043,168.1999969,168.8699951,103620100,136.917038
2013-07-19,168.5200043,169.2299957,168.3099976,169.1699982,103831700,137.1601868
2013-07-22,169.4100037,169.7400055,169.0099945,169.5,79428600,137.4278107
2013-07-23,169.8000031,169.8300018,169.0500031,169.1399994,80829700,137.1358948
2013-07-24,169.7899933,169.8600006,168.1799927,168.5200043,112914000,136.6332397
2013-07-25,168.2200012,169.0800018,167.9400024,168.9299927,111088600,136.9657288
2013-07-26,168.2200012,169.1600037,167.5200043,169.1100006,107814600,137.111618
2013-07-29,168.6799927,169.0599976,168.1100006,168.5899963,79695000,136.690033
2013-07-30,169.1000061,169.2799988,168.1900024,168.5899963,85209600,136.690033
2013-07-31,168.9400024,169.8500061,168.4900055,168.7100067,142388700,136.787323
2013-08-01,169.9900055,170.8099976,169.8999939,170.6600037,110438400,138.3683624
2013-08-02,170.2799988,170.9700012,170.0500031,170.9499969,91116700,138.6034698
2013-08-05,170.5700073,170.9600067,170.3500061,170.6999969,54072700,138.4007568
2013-08-06,170.3699951,170.7400055,169.3500061,169.7299957,87495000,137.6142731
2013-08-07,169.1900024,169.4299927,168.5500031,169.1799927,84854700,137.168396
2013-08-08,169.9799957,170.1799927,168.9299927,169.8000031,102181300,137.6710663
2013-08-09,169.5800018,170.1000061,168.7200012,169.3099976,91757700,137.2737579
2013-08-12,168.4600067,169.3099976,168.3800049,169.1100006,68593300,137.111618
2013-08-13,169.4100037,169.8999939,168.4100037,169.6100006,80806000,137.5169678
2013-08-14,169.5299988,169.8000031,168.6999969,168.7400055,79829200,136.811615
2013-08-15,167.4100037,167.4299927,166.0899963,166.3800049,152931800,134.8981628
2013-08-16,166.0599976,166.6300049,165.5,165.8300018,130868200,134.4522705
2013-08-19,165.6399994,166.2100067,164.7599945,164.7700043,96437600,133.5928345
2013-08-20,165.0399933,166.1999969,164.8600006,165.5800018,89294400,134.249588
2013-08-21,165.1199951,166.0299988,164.1900024,164.5599976,159530500,133.4225006
2013-08-22,164.8999939,166.3000031,164.8899994,166.0599976,101471400,134.6386719
2013-08-23,166.5500031,166.8300018,165.7700043,166.6199951,90888900,135.092804
2013-08-26,166.7899933,167.3000031,165.8899994,166,89702100,134.5900879
2013-08-27,164.3600006,166,163.2100067,163.3300018,158619400,132.4252777
2013-08-28,163.2599945,164.4900055,163.0500031,163.9100037,108113000,132.8955536
2013-08-29,163.5500031,165.0399933,163.3999939,164.1699982,119200500,133.106369
2013-08-30,164.5099945,164.5299988,163.1699982,163.6499939,134928900,132.6847382
2013-09-03,165.2299957,165.5800018,163.6999969,164.3899994,142375100,133.2846985
2013-09-04,164.4299927,166.0299988,164.1300049,165.75,97389400,134.3873749
2013-09-05,165.8500061,166.3999939,165.7299957,165.9600067,63090500,134.557663
2013-09-06,166.5099945,166.9799957,164.4799957,166.0399933,159756500,134.6225433
2013-09-09,166.4499969,167.7299957,166.4499969,167.6300049,87559300,135.9116974
2013-09-10,168.6399994,168.8999939,168.2599945,168.8699951,105847200,136.917038
2013-09-11,168.6399994,169.3999939,168.3500061,169.3999939,94545900,137.346756
2013-09-12,169.3399963,169.5599976,168.7200012,168.9499969,83209000,136.9819031
2013-09-13,169.1300049,169.4600067,168.7400055,169.3300018,72727800,137.2900391
2013-09-16,171.1600037,171.2400055,170.0399933,170.3099976,106299200,138.084549
2013-09-17,170.4600067,171.1100006,170.4600067,171.0700073,82523300,138.7007751
2013-09-18,171.0099945,173.5200043,170.5800018,173.0500031,203460600,140.306076
2013-09-19,173.5200043,173.6000061,172.5899963,172.7599945,146616900,140.0709686
2013-09-20,172.3300018,172.3300018,170.5800018,170.7200012,132867100,139.0917053
2013-09-23,170.4900055,170.6499939,169.3899994,169.9299927,104616500,138.4480591
2013-09-24,169.8999939,170.5299988,169.2100067,169.5299988,106333100,138.1221619
2013-09-25,169.6399994,169.9799957,168.8899994,169.0399933,117306500,137.7228851
2013-09-26,169.3200073,170.1699982,169.0500031,169.6900024,77146900,138.2525177
2013-09-27,168.8399963,169.1399994,168.4700012,168.9100037,99141800,137.6170197
2013-09-30,167.4799957,168.5399933,167.1499939,168.0099945,143937000,136.8837128
2013-10-01,168.1399994,169.5,167.9700012,169.3399963,127160000,137.9673462
2013-10-02,168.3500061,169.3399963,167.8300018,169.1799927,113350000,137.8370056
2013-10-03,168.7899933,168.9400024,166.8399963,167.6199951,176698000,136.5660095
2013-10-04,167.75,169.0599976,167.5299988,168.8899994,96878000,137.6006775
2013-10-07,167.4199982,168.4499969,167.25,167.4299927,96295000,136.4111938
2013-10-08,167.3999939,167.6199951,165.3600006,165.4799957,178015000,134.822464
2013-10-09,165.8000031,166.1999969,164.5299988,165.6000061,168973000,134.9202271
2013-10-10,167.2899933,169.2599945,167.2299957,169.1699982,195955000,137.8288116
2013-10-11,168.9100037,170.3200073,168.7700043,170.2599945,105040000,138.7168427
2013-10-14,169.2100067,171.0800018,169.0800018,170.9400024,112106000,139.2709198
2013-10-15,170.5099945,171.1499939,169.4700012,169.6999969,155485000,138.2606049
2013-10-16,170.7200012,172.1600037,170.6399994,172.0700073,161676000,140.1916656
2013-10-17,171.3699951,173.3200073,171.3399963,173.2200012,129389000,141.1285248
2013-10-18,173.8600006,174.5099945,173.5099945,174.3899994,138316000,142.0817871
2013-10-21,174.4499969,174.75,174.0099945,174.3999939,104104000,142.0898895
2013-10-22,174.9100037,175.9299927,174.4299927,175.4100037,126663000,142.9128265
2013-10-23,174.8099976,174.8899994,173.9600067,174.5700073,105484000,142.2284241
2013-10-24,174.9199982,175.3699951,174.5099945,175.1499939,70350000,142.7009125
2013-10-25,175.5099945,176,175.1699982,175.9499969,93625000,143.3527222
2013-10-28,175.8899994,176.4700012,175.6999969,176.2299957,84979000,143.5808411
2013-10-29,176.6300049,177.2400055,176.3800049,177.1699982,87401000,144.3466797
2013-10-30,177.3800049,177.5099945,175.6600037,176.2899933,140002000,143.6297302
2013-10-31,176.1499939,176.8899994,175.5299988,175.7899933,133795000,143.2223816
2013-11-01,176.0200043,176.6100006,175.2200012,176.2100067,142805000,143.5645752
2013-11-04,176.6900024,176.8999939,175.9799957,176.8300018,85677000,144.0697021
2013-11-05,176.1399994,176.75,175.5700073,176.2700043,85825000,143.6134949
2013-11-06,177.0299988,177.5,176.5399933,177.1699982,87348000,144.3466797
2013-11-07,177.5,177.6399994,174.7599945,174.9299927,157000000,142.5217133
2013-11-08,174.8699951,177.3099976,174.8500061,177.2899933,136713000,144.4444733
2013-11-11,177.1199951,177.5299988,176.9100037,177.3200073,62614000,144.4689331
2013-11-12,176.9400024,177.3600006,176.3699951,176.9600067,83990000,144.1756439
2013-11-13,176.0899963,178.4299927,176.0899963,178.3800049,103844000,145.33255
2013-11-14,178.5399933,179.4199982,178.25,179.2700043,103435000,146.0576782
2013-11-15,179.5599976,180.1199951,179.3300018,180.0500031,102818000,146.6931458
2013-11-18,180.3500061,180.5,179.0200043,179.4199982,104796000,146.1799011
2013-11-19,179.3300018,179.8699951,178.7200012,179.0299988,93891000,145.8620911
2013-11-20,179.3899994,179.9299927,177.9799957,178.4700012,124909000,145.4058838
2013-11-21,178.9700012,180.0500031,178.8600006,179.9100037,92841000,146.5790863
2013-11-22,179.9799957,180.8300018,179.7700043,180.8099976,81296000,147.3123627
2013-11-25,181.1300049,181.1699982,180.3699951,180.6300049,79486000,147.1657104
2013-11-26,180.7200012,181.2200012,180.4100037,180.6799927,86994000,147.2064514
2013-11-27,180.8699951,181.2400055,180.6499939,181.1199951,58800000,147.5649109
2013-11-29,181.3200073,181.75,180.8000031,181,55870900,147.4671173
2013-12-02,181.0899963,181.4299927,180.25,180.5299988,99726000,147.0842285
2013-12-03,179.9400024,180.3899994,179.1699982,179.75,116563000,146.448761
2013-12-04,179.1000061,180.4799957,178.3500061,179.7299957,123033000,146.4324188
2013-12-05,179.4100037,179.7400055,178.7700043,178.9400024,106934000,145.7888184
2013-12-06,180.6699982,181.1100006,180.1499939,180.9400024,127728000,147.4182892
2013-12-09,181.4700012,181.6699982,181.1600037,181.3999939,70124000,147.7930756
2013-12-10,180.9799957,181.3600006,180.6399994,180.75,80976000,147.2634583
2013-12-11,180.8200073,180.8500061,178.5,178.7200012,130591000,145.6095123
2013-12-12,178.6399994,178.8600006,177.7599945,178.1300049,115565000,145.1288605
2013-12-13,178.5,178.6600037,177.7700043,178.1100006,107808000,145.1125641
2013-12-16,178.9499969,179.8099976,178.8999939,179.2200012,96195000,146.016922
2013-12-17,179.3800049,179.4100037,178.25,178.6499939,89886000,145.552536
2013-12-18,178.9199982,181.7299957,177.3200073,181.6999969,234906000,148.0374451
2013-12-19,181.1799927,181.6999969,180.7100067,181.4900055,136531200,147.866394
2013-12-20,180.6900024,181.9900055,180.5700073,181.5599976,197087000,148.7264557
2013-12-23,182.4499969,182.6399994,182.0700073,182.5299988,85598000,149.5211487
