Rank,Company,Ticker,Sector,Industry,Number_of_employees,Revenues_M,Profits_M,Assets_M,MarketCap_M
914,Saia,SAIA,Transportation,"Trucking, Truck Leasing",14000,2881.4,354.9,2583.6,15554
915,Equity Residential,EQR,Financials,Real estate,2400,2874,835.4,20034.6,23954
916,Helmerich & Payne,HP,Energy,"Oil and Gas Equipment, Services",7100,2872.4,434.1,4382,4157
917,Korn Ferry,KFY,Business Services,Diversified Outsourcing Services,10697,2863.8,209.5,3574.4,3431
918,PC Connection,CNXN,Wholesalers,Wholesalers: Electronics and Office Equipment,2703,2850.6,83.3,1188.4,1738
919,Curtiss-Wright,CW,Aerospace & Defense,Aerospace & Defense,8600,2845.4,354.5,4621,9797
920,SLM,SLM,Financials,Diversified Financials,1740,2839.4,581.4,29169.5,4801
921,Benchmark Electronics,BHE,Technology,Semiconductors and Other Electronic Components,12703,2839,64.3,2274.8,1074
922,American National Group,AEL,Financials,"Insurance: Life, Health (stock)",1020,2836,210.5,79918.3,4464
923,Pure Storage,PSTG,Technology,"Computers, Office Equipment",5600,2830.6,61.3,3655.8,16892
924,Knife River,KNF,Materials,"Building Materials, Glass",4389,2830.4,182.9,2599.8,4590
925,Caleres,CAL,Retailing,Specialty Retailers: Apparel,7150,2817.3,171.4,1804.7,1457
926,BrightView Holdings,BV,Business Services,Diversified Outsourcing Services,20700,2816,-7.7,3352.2,1123
927,Cooper-Standard Holdings,CPS,Motor Vehicles & Parts,Motor Vehicles & Parts,21500,2815.9,-202,1872.3,285
928,Primerica,PRI,Financials,"Insurance: Life, Health (stock)",3150,2815.7,576.6,15027.7,8777
929,F5,FFIV,Technology,Network and Other Communications Equipment,6492,2813.2,394.9,5248.3,11149
930,Matador Resources,MTDR,Energy,"Mining, Crude-Oil Production",395,2806.8,846.1,7727,8332
931,Snowflake,SNOW,Technology,Internet Services and Retailing,7004,2806.5,-836.1,8223.4,54007
932,Viasat,VSAT,Technology,Network and Other Communications Equipment,6800,2803.2,1084.8,7730.3,2267
933,California Resources,CRC,Energy,"Mining, Crude-Oil Production",970,2801,564,3998,3789
934,Peloton Interactive,PTON,"Hotels, Restaurants & Leisure","Toys, Sporting Goods",3541,2800.2,-1261.7,2769.1,1572
935,Roblox,RBLX,Media,Entertainment,2457,2799.3,-1151.9,6168.1,24116
936,Installed Building Products,IBP,Engineering & Construction,Homebuilders,10600,2778.6,243.7,1981.3,7339
937,First National of Nebraska,FINN,Financials,Commercial Banks,4799,2777.5,227.4,31285.9,3265
938,Guess,GES,Retailing,Specialty Retailers: Apparel,12000,2776.5,198.2,2590,1690
939,ESAB,ESAB,Industrials,Industrial Machinery,9000,2774.8,205.3,3828.6,6672
940,Amica Mutual Insurance,,Financials,Insurance: Property and Casualty (Mutual),3597,2772.5,-218.4,6668,
941,AvalonBay Communities,AVB,Financials,Real estate,3009,2767.9,928.8,20678.2,26384
942,DocuSign,DOCU,Technology,Computer Software,6840,2761.9,74,2971.3,12233
943,Titan Machinery,TITN,Retailing,Specialty Retailers: Other,3471,2758.4,112.4,1992.3,567
944,ModivCare,MODV,Health Care,Health Care: Pharmacy and Other Services,21200,2756.2,-204.5,1767.3,333
945,Hovnanian Enterprises,HOV,Engineering & Construction,Homebuilders,1715,2756,205.9,2492.9,957
946,Etsy,ETSY,Retailing,Internet Services and Retailing,2420,2748.4,307.6,2685.4,8143
947,Adams Resources & Energy,AE,Energy,Petroleum Refining,741,2745.3,0.2,361.3,74
948,Surgery Partners,SGRY,Health Care,Health Care: Medical Facilities,12000,2743.3,-11.9,6876.7,3777
949,Columbia Banking System,COLB,Financials,Commercial Banks,5114,2743.3,348.7,52173.6,4050
950,Verisk,VRSK,Business Services,Financial Data Services,7500,2728.2,614.6,4366.1,33801
951,MasterBrand,MBC,Materials,"Building Materials, Glass",12307,2726.2,182,2381.7,2380
952,Hawaiian Holdings,HA,Transportation,Airlines,7362,2716.3,-260.5,3733.5,691
