Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
787,Ensign Group,Health Care,35300,3729.4,209.4,4177.5,Barry R. Port,U.S.,San Juan Capistrano,California,https://www.ensigngroup.net,Public,7080
788,Sally Beauty Holdings,Retailing,20000,3728.1,184.6,2725.3,Denise A. Paulonis,U.S.,Denton,Texas,https://www.sallybeautyholdings.com,Public,1303
789,Conduent,Business Services,59000,3722,-296,3162,Clifford A. Skelton,U.S.,Florham Park,New Jersey,https://www.conduent.com,Public,710
790,Sylvamo,Materials,6500,3721,253,2872,Jean-Michel Ribi?ras,U.S.,Memphis,Tennessee,https://www.sylvamo.com,Public,2560
791,Tri Pointe Homes,Engineering & Construction,1438,3715.2,343.7,4914.6,Douglas F. Bauer,U.S.,Incline Village,Nevada,https://www.tripointehomes.com,Public,3710
792,EnerSys,Industrials,11350,3708.6,175.8,3616.7,David M. Shaffer,U.S.,Reading,Pennsylvania,https://www.enersys.com,Public,3818
793,Incyte,Health Care,2524,3695.6,597.6,6782.1,Herv? Hoppenot,U.S.,Wilmington,Delaware,https://www.incyte.com,Public,12791
794,Century Communities,Engineering & Construction,1650,3692.2,259.2,4139.4,Dale Francescon,U.S.,Greenwood Village,Colorado,https://www.centurycommunities.com,Public,3067
795,Rithm Capital,Financials,6570,3691.9,622.3,35311.8,Michael Nierenberg,U.S.,New York,New York,https://www.rithmcap.com,Public,5393
796,Euronet Worldwide,Business Services,10000,3688,279.7,5894.4,Michael J. Brown,U.S.,Leawood,Kansas,https://www.euronetworldwide.com,Public,5033
797,Hawaiian Electric Industries,Energy,3652,3682.2,199.2,17243.8,Scott W.H. Seu,U.S.,Honolulu,Hawaii,https://www.hei.com,Public,1243
798,DraftKings,"Hotels, Restaurants & Leisure",4400,3665.4,-802.1,3944.9,Jason D. Robins,U.S.,Boston,Massachusetts,https://www.draftkings.com,Public,39447
799,IDEXX Laboratories,Health Care,11000,3661,845,3259.9,Jonathan J. Mazelsky,U.S.,Westbrook,Maine,https://www.idexx.com,Public,44843
800,MYR Group,Engineering & Construction,9000,3643.9,91,1578.7,Richard S. Swartz,U.S.,Thornton,Colorado,https://www.myrgroup.com,Public,2959
801,Deckers Outdoor,Apparel,4200,3627.3,516.8,2556.2,Stefano Caroti,U.S.,Goleta,California,https://www.deckers.com,Public,24161
802,DexCom,Health Care,9550,3622.3,541.5,6264.5,Kevin R. Sayer,U.S.,San Diego,California,https://www.dexcom.com,Public,53471
803,MKS Instruments,Technology,10100,3622,-1841,9118,John T.C. Lee,U.S.,Andover,Massachusetts,https://www.mks.com,Public,8918
804,VICI Properties,Financials,28,3612,2513.5,44059.8,Edward B. Pitoniak,U.S.,New York,New York,https://www.viciproperties.com,Public,31075
805,Cooper Cos.,Health Care,15000,3593.2,294.2,11658.9,Albert G. White III,U.S.,San Ramon,California,https://www.coopercos.com,Public,20166
806,Frontier Group Holdings,Transportation,7214,3589,-11,4993,Barry L. Biffle,U.S.,Denver,Colorado,https://www.flyfrontier.com,Public,1812
807,Qorvo,Technology,8500,3569.4,103.2,6691.9,Robert A. Bruggeworth,U.S.,Greensboro,North Carolina,https://www.qorvo.com,Public,11087
808,Five Below,Retailing,14500,3559.4,301.1,3872,Kenneth R. Bull,U.S.,Philadelphia,Pennsylvania,https://www.fivebelow.com,Public,10019
809,TreeHouse Foods,"Food, Beverages & Tobacco",7400,3552.9,53.1,4106.6,Steven T. Oakland,U.S.,Oak Brook,Illinois,https://www.treehousefoods.com,Public,2098
810,Scotts Miracle-Gro,Chemicals,6375,3551.3,-380.1,3413.7,James S. Hagedorn,U.S.,Marysville,Ohio,https://www.scotts.com,Public,4229
811,Atlassian,Technology,10726,3534.6,-486.8,4106.8,Michael Cannon-Brookes,U.S.,San Francisco,California,https://www.atlassian.com,Public,50613
812,Entegris,Technology,8000,3523.9,180.7,8812.6,Bertrand Loy,U.S.,Billerica,Massachusetts,https://www.entegris.com,Public,21184
813,Atkore,Industrials,5208,3518.8,689.9,2935,William E. Waltz,U.S.,Harvey,Illinois,https://www.atkore.com,Public,6999
814,H.B. Fuller,Chemicals,7200,3510.9,144.9,4723.6,Celeste B. Mastin,U.S.,St. Paul,Minnesota,https://www.hbfuller.com,Public,4345
815,Granite Construction,Engineering & Construction,4100,3509.1,43.6,2813.5,Kyle T. Larkin,U.S.,Watsonville,California,https://www.graniteconstruction.com,Public,2512
816,Winnebago Industries,Motor Vehicles & Parts,6250,3490.7,215.9,2432.4,Michael J. Happe,U.S.,Eden Prairie,Minnesota,https://www.winnebagoind.com,Public,2166
817,FTI Consulting,Business Services,7990,3489.2,274.9,3325.9,Steven H. Gunby,U.S.,Washington,District Of Columbia,https://www.fticonsulting.com,Public,7472
818,AptarGroup,Materials,13800,3487.5,284.5,4451.9,Stephan B. Tanda,U.S.,Crystal Lake,Illinois,https://www.aptar.com,Public,9521
819,Columbia Sportswear,Apparel,10070,3487.2,251.4,2939,Timothy P. Boyle,U.S.,Portland,Oregon,https://www.columbia.com,Public,4854
820,Roku,Media,3150,3484.6,-709.6,4261.8,Anthony J. Wood,U.S.,San Jose,California,https://www.roku.com,Public,9353
821,Civitas Resources,Energy,516,3479.2,784.3,14097.3,M. Christopher Doyle,U.S.,Denver,Colorado,https://www.civitasresources.com,Public,7669
822,H&R Block,Financials,39200,3472.2,553.7,3072.3,Jeffrey J. Jones II,U.S.,Kansas City,Missouri,https://www.hrblock.com,Public,6852
823,Alpha Metallurgical Resources,Energy,4160,3471.4,722,2406.1,Charles Andrew Eidson,U.S.,Bristol,Tennessee,https://www.alphametresources.com,Public,4308
824,Patrick Industries,Motor Vehicles & Parts,10000,3468,142.9,2562.4,Andy L. Nemeth,U.S.,Elkhart,Indiana,https://www.patrickind.com,Public,2674
825,Murphy Oil,Energy,725,3460.1,661.6,9766.7,Roger W. Jenkins,U.S.,Houston,Texas,https://www.murphyoilcorp.com,Public,6973
826,Synovus Financial,Financials,4798,3454.4,543.7,59809.5,Kevin S. Blair,U.S.,Columbus,Georgia,https://www.synovus.com,Public,5866
827,Cracker Barrel Old Country Store,"Hotels, Restaurants & Leisure",77000,3442.8,99.1,2218.1,Julie Felss Masino,U.S.,Lebanon,Tennessee,https://www.crackerbarrel.com,Public,1615
828,Cheesecake Factory,"Hotels, Restaurants & Leisure",47900,3439.5,101.4,2840.4,David M. Overton,U.S.,Calabasas Hills,California,https://www.thecheesecakefactory.com,Public,1848
