code,current,name,gender,function,country,nationality,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang
1982385,TRUE,KAKENE Sitali,Male,Alternate Athlete,Zambia,Zambia,167,0,['Athletics'],"[""Men's 4 x 400m Relay""]",2003-11-07,,,,,,,,,
1982687,TRUE,JOSAIA Raisuqe,Male,Athlete,Fiji,Fiji,193,113,['Rugby Sevens'],['Men'],1994-07-22,NAITASIRI,Fiji,CASTRES,France,,,Athlete,,"English, French"
1984746,TRUE,CHEMUTAI Belinda,Female,Athlete,Uganda,Uganda,168,0,['Athletics'],"[""Women's 5000m""]",2000-04-30,BUKWO,Uganda,,,,,"Athlete, prison officer",,English
1986723,TRUE,OGAZI Samuel,Male,Athlete,Nigeria,Nigeria,195,0,['Athletics'],"[""Men's 400m"", ""Men's 4 x 400m Relay"", '4 x 400m Relay Mixed']",2006-05-14,,Nigeria,"TUSCALOOSA, AL",United States,,,"Athlete, student","Student at University of Alabama (Tuscaloosa, USA)",English
1996131,TRUE,SINGHAPURAGE Aruna Dharshana,Male,Athlete,Sri Lanka,Sri Lanka,170,0,['Athletics'],"[""Men's 400m""]",1999-01-19,SINHAPURA,,,,,,Army athlete,,
1998595,TRUE,MARSHALL Jonny,Male,Athlete,Great Britain,Great Britain,0,0,['Swimming'],"[""Men's 100m Backstroke""]",2004-11-15,"AKRON, OH",United States,"GAINESVILLE, FL",United States,Jonny,,Student,Studying at the University of Florida (USA),English
2001756,TRUE,OSRIN Honey,Female,Athlete,Great Britain,Great Britain,0,0,['Swimming'],"[""Women's 200m Backstroke""]",2003-02-24,CAPE TOWN,South Africa,LOUGHBOROUGH,Great Britain,,,Student,Studying Criminology at Loughborough University (GBR),English
2008688,TRUE,SACULTAN Maxim,Male,Athlete,Republic of Moldova,Republic of Moldova,0,0,['Wrestling'],"[""Men's Freestyle 65kg""]",1996-11-18,,,CHISINAU,Republic of Moldova,,,"Athlete, singer/songwriter","Attended Lower Danube University (Galati, ROU) and then studied Marketing and Business Management at the State University of Physical Education and Sport (Chisinau, MDA)",
2009155,TRUE,D'AMBROSIO Carlos,Male,Athlete,Italy,Italy,0,0,['Swimming'],"[""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",2007-02-05,VALDAGNO,Italy,VERONA,Italy,,"Music, watching televsion",,,Italian
2013977,TRUE,EVANS Angharad,Female,Athlete,Great Britain,Great Britain,0,0,['Swimming'],"[""Women's 100m Breaststroke"", ""Women's 4 x 100m Medley Relay""]",2003-04-25,CAMBRIDGE,Great Britain,STIRLING,Great Britain,,,,Studied Political Science at University of Georgia (USA),English
2013979,TRUE,LITCHFIELD Max,Male,Athlete,Great Britain,Great Britain,0,0,['Swimming'],"[""Men's 400m Individual Medley""]",1995-03-04,PONTEFRACT,Great Britain,LOUGHBOROUGH,Great Britain,,"Cricket, basketball, cooking",Athlete,"Studied Exercise Science, Sports Science at Sheffield Hallam University (GBR)","English, Italian"
2060840,TRUE,HASANBAYEV Davranbek,Male,Athlete,Turkmenistan,Turkmenistan,0,0,['Weightlifting'],"[""Men's 102kg""]",2000-12-24,,,,,,,"Athlete, student",Studies at the National Institute of Sport and Tourism of Turkmenistan (Ashgabat),Turkmen
2280513,TRUE,HRIBAR Jere,Male,Athlete,Croatia,Croatia,0,0,['Swimming'],"[""Men's 50m Freestyle""]",2004-01-19,SPLIT,Croatia,"BATON ROUGE, LA",United States,,,Student,"Studying Finance at Louisiana State University, Baton Rouge, LA (USA)",
2395918,TRUE,KHLAN Maksym,Male,Athlete,Ukraine,Ukraine,175,0,['Football'],['Men'],2003-01-27,ZHYTOMYR,Ukraine,,Poland,,,Athlete,,Ukrainian
2420628,TRUE,CHUPRYS Darya,Female,Athlete,AIN,Belarus,0,0,['Shooting'],['50m Rifle 3 Positions Women'],2007-09-03,,,MINSK,Belarus,,,,,
2473438,TRUE,KRAPPE Lukas,Male,Alternate Athlete,Germany,Germany,193,0,['Athletics'],['4 x 400m Relay Mixed'],2003-11-27,,,,,,,,,
2475379,TRUE,COSCORAN Andrew,Male,Athlete,Ireland,Ireland,183,0,['Athletics'],"[""Men's 1500m""]",1996-06-18,BALBRIGGAN,Ireland,BALBRIGGAN,Ireland,,,Athlete,Dublin City University (IRL),English
2475381,TRUE,ELMES KINLAN Vicki,Female,Athlete,Ireland,Ireland,170,72,['Rugby Sevens'],['Women'],2003-02-21,,,WICKLOW,Ireland,,,Athlete,,English
2475718,TRUE,CORCORAN Madison,Female,Athlete,Ireland,Ireland,0,0,['Canoe Slalom'],"[""Women's Kayak Single"", ""Women's Kayak Cross""]",2002-08-07,"HOUSTON, TX",United States,"BETHESDA, MD",United States,,,"Athlete, student","Studies at Vanderbilt University (Nashville, TN, USA)",English
2475949,TRUE,DURRANI Muhammad Ahmed,Male,Athlete,Pakistan,Pakistan,0,0,['Swimming'],"[""Men's 200m Freestyle""]",2006-01-03,,,,,,,Athlete,,
2484588,TRUE,RAVUTAUMADA Selesitino,Male,Athlete,Fiji,Fiji,183,93,['Rugby Sevens'],['Men'],2000-01-17,,,,,,,Athlete,,English
2488129,TRUE,DURAN Milagros,Female,Athlete,Dominican Republic,Dominican Republic,0,0,['Athletics'],['4 x 400m Relay Mixed'],2000-09-10,,,,,,,Athlete,,Spanish
2493835,TRUE,KIMIA Alizadeh,Female,Athlete,Bulgaria,Bulgaria,0,0,['Taekwondo'],['Women -57kg'],1998-07-10,KARAJ,IR Iran,,Bulgaria,,,Athlete,,"English, Persian"
2498186,TRUE,KYBURZ Matthias,Male,Athlete,Switzerland,Switzerland,182,0,['Athletics'],"[""Men's Marathon""]",1990-03-05,RHEINFELDEN,Switzerland,BELP,Switzerland,Chlai,,"Athlete, sustainability project manager (works part-time at SBB, the Swiss Federal Railways)",Ecology at University of Bern (SUI),"English, French, German"
2500123,TRUE,APHIBARNRAT Kiradech,Male,Athlete,Thailand,Thailand,172,0,['Golf'],"[""Men's Individual Stroke Play""]",1989-07-23,BANGKOK,Thailand,BANGKOK,Thailand,,,,,"English, Thai"
